nohup: ignoring input
Loaded 6641 samples from splits/train_scenario_1-1.json with vision_model=faster_rcnn
Loaded 2861 samples from splits/test_scenario_1-1.json with vision_model=faster_rcnn

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 4246.67it/s]

Training:   0%|          | 0/3321 [00:00<?, ?it/s]
Training:   0%|          | 0/3321 [00:01<?, ?it/s, loss=2.25, match=1.54, det=0.446]
Training:   0%|          | 1/3321 [00:01<1:46:46,  1.93s/it, loss=2.25, match=1.54, det=0.446]
Training:   0%|          | 1/3321 [00:02<1:46:46,  1.93s/it, loss=2.04, match=1.39, det=0.379]
Training:   0%|          | 2/3321 [00:02<55:35,  1.01s/it, loss=2.04, match=1.39, det=0.379]  
Training:   0%|          | 2/3321 [00:02<55:35,  1.01s/it, loss=2.32, match=1.53, det=0.514]
Training:   0%|          | 3/3321 [00:02<39:07,  1.41it/s, loss=2.32, match=1.53, det=0.514]
Training:   0%|          | 3/3321 [00:02<39:07,  1.41it/s, loss=2.39, match=1.58, det=0.541]
Training:   0%|          | 4/3321 [00:02<31:29,  1.76it/s, loss=2.39, match=1.58, det=0.541]
Training:   0%|          | 4/3321 [00:03<31:29,  1.76it/s, loss=1.94, match=1.33, det=0.33] 
Training:   0%|          | 5/3321 [00:03<27:37,  2.00it/s, loss=1.94, match=1.33, det=0.33]
Training:   0%|          | 5/3321 [00:03<27:37,  2.00it/s, loss=2.28, match=1.59, det=0.421]
Training:   0%|          | 6/3321 [00:03<24:59,  2.21it/s, loss=2.28, match=1.59, det=0.421]
Training:   0%|          | 6/3321 [00:04<24:59,  2.21it/s, loss=2.41, match=1.64, det=0.497]
Training:   0%|          | 7/3321 [00:04<23:07,  2.39it/s, loss=2.41, match=1.64, det=0.497]
Training:   0%|          | 7/3321 [00:04<23:07,  2.39it/s, loss=2.14, match=1.48, det=0.377]
Training:   0%|          | 8/3321 [00:04<22:05,  2.50it/s, loss=2.14, match=1.48, det=0.377]
Training:   0%|          | 8/3321 [00:04<22:05,  2.50it/s, loss=2.28, match=1.67, det=0.34] 
Training:   0%|          | 9/3321 [00:04<21:46,  2.53it/s, loss=2.28, match=1.67, det=0.34]
Training:   0%|          | 9/3321 [00:05<21:46,  2.53it/s, loss=2.41, match=1.59, det=0.546]
Training:   0%|          | 10/3321 [00:05<21:19,  2.59it/s, loss=2.41, match=1.59, det=0.546]
Training:   0%|          | 10/3321 [00:05<21:19,  2.59it/s, loss=2.14, match=1.6, det=0.267] 
Training:   0%|          | 11/3321 [00:05<20:54,  2.64it/s, loss=2.14, match=1.6, det=0.267]
Training:   0%|          | 11/3321 [00:05<20:54,  2.64it/s, loss=2.41, match=1.64, det=0.482]
Training:   0%|          | 12/3321 [00:05<20:42,  2.66it/s, loss=2.41, match=1.64, det=0.482]
Training:   0%|          | 12/3321 [00:06<20:42,  2.66it/s, loss=2.04, match=1.41, det=0.357]
Training:   0%|          | 13/3321 [00:06<20:21,  2.71it/s, loss=2.04, match=1.41, det=0.357]
Training:   0%|          | 13/3321 [00:06<20:21,  2.71it/s, loss=1.6, match=1.05, det=0.277] 
Training:   0%|          | 14/3321 [00:06<19:51,  2.78it/s, loss=1.6, match=1.05, det=0.277]
Training:   0%|          | 14/3321 [00:06<19:51,  2.78it/s, loss=2.12, match=1.46, det=0.384]
Training:   0%|          | 15/3321 [00:06<19:58,  2.76it/s, loss=2.12, match=1.46, det=0.384]
Training:   0%|          | 15/3321 [00:07<19:58,  2.76it/s, loss=2.19, match=1.43, det=0.489]
Training:   0%|          | 16/3321 [00:07<21:38,  2.55it/s, loss=2.19, match=1.43, det=0.489]
Training:   0%|          | 16/3321 [00:07<21:38,  2.55it/s, loss=2.01, match=1.37, det=0.371]
Training:   1%|          | 17/3321 [00:07<20:55,  2.63it/s, loss=2.01, match=1.37, det=0.371]
Training:   1%|          | 17/3321 [00:08<20:55,  2.63it/s, loss=2.1, match=1.49, det=0.351] 
Training:   1%|          | 18/3321 [00:08<20:31,  2.68it/s, loss=2.1, match=1.49, det=0.351]
Training:   1%|          | 18/3321 [00:08<20:31,  2.68it/s, loss=1.99, match=1.5, det=0.225]
Training:   1%|          | 19/3321 [00:08<20:22,  2.70it/s, loss=1.99, match=1.5, det=0.225]
Training:   1%|          | 19/3321 [00:08<20:22,  2.70it/s, loss=1.95, match=1.42, det=0.269]
Training:   1%|          | 20/3321 [00:08<19:59,  2.75it/s, loss=1.95, match=1.42, det=0.269]
Training:   1%|          | 20/3321 [00:09<19:59,  2.75it/s, loss=1.98, match=1.38, det=0.339]
Training:   1%|          | 21/3321 [00:09<20:04,  2.74it/s, loss=1.98, match=1.38, det=0.339]
Training:   1%|          | 21/3321 [00:09<20:04,  2.74it/s, loss=1.51, match=1.13, det=0.124]
Training:   1%|          | 22/3321 [00:09<19:45,  2.78it/s, loss=1.51, match=1.13, det=0.124]
Training:   1%|          | 22/3321 [00:09<19:45,  2.78it/s, loss=1.86, match=1.43, det=0.163]
Training:   1%|          | 23/3321 [00:09<20:00,  2.75it/s, loss=1.86, match=1.43, det=0.163]
Training:   1%|          | 23/3321 [00:10<20:00,  2.75it/s, loss=1.71, match=1.27, det=0.174]
Training:   1%|          | 24/3321 [00:10<20:00,  2.75it/s, loss=1.71, match=1.27, det=0.174]
Training:   1%|          | 24/3321 [00:10<20:00,  2.75it/s, loss=2.36, match=1.58, det=0.517]
Training:   1%|          | 25/3321 [00:10<19:46,  2.78it/s, loss=2.36, match=1.58, det=0.517]
Training:   1%|          | 25/3321 [00:11<19:46,  2.78it/s, loss=2.1, match=1.43, det=0.41]  
Training:   1%|          | 26/3321 [00:11<19:43,  2.78it/s, loss=2.1, match=1.43, det=0.41]
Training:   1%|          | 26/3321 [00:11<19:43,  2.78it/s, loss=2.24, match=1.62, det=0.356]
Training:   1%|          | 27/3321 [00:11<19:43,  2.78it/s, loss=2.24, match=1.62, det=0.356]
Training:   1%|          | 27/3321 [00:11<19:43,  2.78it/s, loss=2.23, match=1.43, det=0.554]
Training:   1%|          | 28/3321 [00:11<19:37,  2.80it/s, loss=2.23, match=1.43, det=0.554]
Training:   1%|          | 28/3321 [00:12<19:37,  2.80it/s, loss=2.27, match=1.66, det=0.343]
Training:   1%|          | 29/3321 [00:12<19:21,  2.83it/s, loss=2.27, match=1.66, det=0.343]
Training:   1%|          | 29/3321 [00:12<19:21,  2.83it/s, loss=1.92, match=1.42, det=0.23] 
Training:   1%|          | 30/3321 [00:12<19:55,  2.75it/s, loss=1.92, match=1.42, det=0.23]
Training:   1%|          | 30/3321 [00:12<19:55,  2.75it/s, loss=1.78, match=1.36, det=0.168]
Training:   1%|          | 31/3321 [00:12<19:41,  2.78it/s, loss=1.78, match=1.36, det=0.168]
Training:   1%|          | 31/3321 [00:13<19:41,  2.78it/s, loss=2.23, match=1.64, det=0.322]
Training:   1%|          | 32/3321 [00:13<19:36,  2.79it/s, loss=2.23, match=1.64, det=0.322]
Training:   1%|          | 32/3321 [00:13<19:36,  2.79it/s, loss=1.86, match=1.42, det=0.177]
Training:   1%|          | 33/3321 [00:13<19:50,  2.76it/s, loss=1.86, match=1.42, det=0.177]
Training:   1%|          | 33/3321 [00:13<19:50,  2.76it/s, loss=1.91, match=1.45, det=0.207]
Training:   1%|          | 34/3321 [00:13<19:50,  2.76it/s, loss=1.91, match=1.45, det=0.207]
Training:   1%|          | 34/3321 [00:14<19:50,  2.76it/s, loss=2.08, match=1.59, det=0.231]
Training:   1%|          | 35/3321 [00:14<19:46,  2.77it/s, loss=2.08, match=1.59, det=0.231]
Training:   1%|          | 35/3321 [00:14<19:46,  2.77it/s, loss=1.71, match=1.25, det=0.204]
Training:   1%|          | 36/3321 [00:14<19:43,  2.77it/s, loss=1.71, match=1.25, det=0.204]
Training:   1%|          | 36/3321 [00:14<19:43,  2.77it/s, loss=1.31, match=0.958, det=0.104]
Training:   1%|          | 37/3321 [00:14<19:29,  2.81it/s, loss=1.31, match=0.958, det=0.104]
Training:   1%|          | 37/3321 [00:15<19:29,  2.81it/s, loss=1.97, match=1.46, det=0.263] 
Training:   1%|          | 38/3321 [00:15<19:53,  2.75it/s, loss=1.97, match=1.46, det=0.263]
Training:   1%|          | 38/3321 [00:15<19:53,  2.75it/s, loss=1.64, match=1.19, det=0.195]
Training:   1%|          | 39/3321 [00:15<20:07,  2.72it/s, loss=1.64, match=1.19, det=0.195]
Training:   1%|          | 39/3321 [00:16<20:07,  2.72it/s, loss=2.05, match=1.49, det=0.309]
Training:   1%|          | 40/3321 [00:16<19:49,  2.76it/s, loss=2.05, match=1.49, det=0.309]
Training:   1%|          | 40/3321 [00:16<19:49,  2.76it/s, loss=1.94, match=1.41, det=0.284]
Training:   1%|          | 41/3321 [00:16<19:43,  2.77it/s, loss=1.94, match=1.41, det=0.284]
Training:   1%|          | 41/3321 [00:16<19:43,  2.77it/s, loss=1.94, match=1.4, det=0.293] 
Training:   1%|▏         | 42/3321 [00:16<19:47,  2.76it/s, loss=1.94, match=1.4, det=0.293]
Training:   1%|▏         | 42/3321 [00:17<19:47,  2.76it/s, loss=1.42, match=1.02, det=0.16]
Training:   1%|▏         | 43/3321 [00:17<19:43,  2.77it/s, loss=1.42, match=1.02, det=0.16]
Training:   1%|▏         | 43/3321 [00:17<19:43,  2.77it/s, loss=1.8, match=1.24, det=0.326]
Training:   1%|▏         | 44/3321 [00:17<19:37,  2.78it/s, loss=1.8, match=1.24, det=0.326]
Training:   1%|▏         | 44/3321 [00:17<19:37,  2.78it/s, loss=1.92, match=1.35, det=0.328]
Training:   1%|▏         | 45/3321 [00:17<19:39,  2.78it/s, loss=1.92, match=1.35, det=0.328]
Training:   1%|▏         | 45/3321 [00:18<19:39,  2.78it/s, loss=1.75, match=1.35, det=0.155]
Training:   1%|▏         | 46/3321 [00:18<19:31,  2.80it/s, loss=1.75, match=1.35, det=0.155]
Training:   1%|▏         | 46/3321 [00:18<19:31,  2.80it/s, loss=2.02, match=1.47, det=0.303]
Training:   1%|▏         | 47/3321 [00:18<19:42,  2.77it/s, loss=2.02, match=1.47, det=0.303]
Training:   1%|▏         | 47/3321 [00:18<19:42,  2.77it/s, loss=2.15, match=1.52, det=0.379]
Training:   1%|▏         | 48/3321 [00:18<19:41,  2.77it/s, loss=2.15, match=1.52, det=0.379]
Training:   1%|▏         | 48/3321 [00:19<19:41,  2.77it/s, loss=1.74, match=1.36, det=0.144]
Training:   1%|▏         | 49/3321 [00:19<19:26,  2.80it/s, loss=1.74, match=1.36, det=0.144]
Training:   1%|▏         | 49/3321 [00:19<19:26,  2.80it/s, loss=1.88, match=1.38, det=0.259]
Training:   2%|▏         | 50/3321 [00:19<19:50,  2.75it/s, loss=1.88, match=1.38, det=0.259]
Training:   2%|▏         | 50/3321 [00:20<19:50,  2.75it/s, loss=1.79, match=1.42, det=0.134]
Training:   2%|▏         | 51/3321 [00:20<19:50,  2.75it/s, loss=1.79, match=1.42, det=0.134]
